Player,Season,Tm,SeasonPlayerBorn,MP,EstAdjTOV,TOV.,TOV100,ATRatio,PPR
Clem Haskins,1974,PHO,1974 Clem Haskins 1944,1822,151.0524671,14.63158617,3.630865266,1.714636014,1.186289769
John Havlicek,1974,BOS,1974 John Havlicek 1941,3091,290.9414509,14.72389585,4.107287916,1.536391596,0.228358107
Connie Hawkins,1974,TOT,1974 Connie Hawkins 1943,2761,224.2727766,19.64353743,3.495893384,1.814754364,1.704475072
Connie Hawkins,1974,PHO,1974 Connie Hawkins 1943,223,17.74573874,17.1248369,3.485137392,1.577843583,0.412972163
Connie Hawkins,1974,LAL,1974 Connie Hawkins 1943,2538,206.5270378,19.89496355,3.496820686,1.835110811,1.817952278
Nate Hawthorne,1974,LAL,1974 Nate Hawthorne 1950,229,25.80937572,18.44457291,4.843174109,0.891149025,-4.574691
Elvin Hayes,1974,CAP,1974 Elvin Hayes 1946,3602,297.2062599,13.87513498,3.725822979,0.548440669,-5.234302978
Spencer Haywood,1974,SEA,1974 Spencer Haywood 1950,3039,294.1448924,14.59294615,4.215899548,0.815924418,-4.414112945
Gar Heard,1974,BUF,1974 Gar Heard 1949,2889,258.3588221,16.22124499,3.846385394,0.696705452,-4.789159645
Lou Hudson,1974,ATL,1974 Lou Hudson 1945,2588,235.9695063,13.50488889,3.949963559,0.902659006,-3.630970106
John Hummer,1974,TOT,1974 John Hummer 1949,1119,82.51039251,18.66453712,3.237113937,1.296806338,-0.998843537
John Hummer,1974,CHI,1974 John Hummer 1949,186,16.87331784,22.43991663,4.147052003,0.770447171,-4.412178049
John Hummer,1974,SEA,1974 John Hummer 1949,933,65.63707468,17.89075394,3.064271318,1.43211745,-0.318371705
Tom Ingelsby,1974,ATL,1974 Tom Ingelsby 1952,398,29.85652801,16.85509383,3.24980803,1.23925997,-1.303985261
Phil Jackson,1974,NYK,1974 Phil Jackson 1946,2050,177.418109,17.01594295,4.013700592,0.755278031,-4.296818324
Charles Johnson,1974,GSW,1974 Charles Johnson 1950,1051,72.56270843,12.84835336,3.043155371,1.405680717,-0.434130203
George Johnson,1974,GSW,1974 George Johnson 1949,1291,136.4232965,25.19343786,4.657744427,0.535099223,-6.797570089
George Johnson,1974,HOU,1974 George Johnson 1948,238,16.43804854,21.94137309,3.124634006,0.547510246,-4.38573468
John Johnson,1974,POR,1974 John Johnson 1948,2287,265.1166174,19.35219072,5.128404641,1.071226703,-3.313654746
Ollie Johnson,1974,POR,1974 Ollie Johnson 1950,1718,103.3801195,17.8629606,2.662106155,1.61539763,0.462934448
Dwight Jones,1974,ATL,1974 Dwight Jones 1953,1448,143.1242941,20.05203893,4.281996154,0.600876326,-5.924790108
Larry Jones,1974,PHI,1974 Larry Jones 1943,1876,144.8627029,16.64585905,3.42244542,1.587710262,0.451526143
Bob Kauffman,1974,BUF,1974 Bob Kauffman 1947,1304,114.2998992,20.92255543,3.770034278,1.242345802,-1.505615996
Ben Kelso,1974,DET,1974 Ben Kelso 1950,298,21.44581245,16.86975449,3.243529626,0.839324695,-3.169735721
Toby Kimball,1974,PHI,1974 Toby Kimball 1943,1592,126.6462916,19.07190707,3.525836708,0.576408508,-4.898217649
Don Kojis,1974,KCO,1974 Don Kojis 1939,2091,163.0153004,14.57191251,3.526957198,0.674783286,-4.288951078
Howard Komives,1974,KCO,1974 Howard Komives 1942,830,51.9239697,19.92141608,2.83019037,1.868116027,1.535264695
Tom Kozelko,1974,CAP,1974 Tom Kozelko 1952,573,31.51404577,17.6456307,2.483461961,0.793297065,-2.591165637
Steve Kuberski,1974,BOS,1974 Steve Kuberski 1948,985,76.90882557,15.57650805,3.407128406,0.494091539,-5.236090582
Kevin Kunnert,1974,TOT,1974 Kevin Kunnert 1952,701,56.28933259,19.69471468,3.543640874,0.763910283,-3.940465895
Kevin Kunnert,1974,BUF,1974 Kevin Kunnert 1952,340,27.25261677,20.14346194,3.447516353,0.917343102,-3.113514735
Kevin Kunnert,1974,HOU,1974 Kevin Kunnert 1952,361,29.03671582,19.29135622,3.638866693,0.619904817,-4.719311862
Sam Lacey,1974,KCO,1974 Sam Lacey 1949,3107,320.4162372,22.70690182,4.665509909,0.933161199,-3.897100219
Bob Lanier,1974,DET,1974 Bob Lanier 1949,3047,338.7177999,16.92169439,5.010224602,1.012642383,-3.611786454
Stu Lantz,1974,DET,1974 Stu Lantz 1947,980,81.99930761,15.91727188,3.771166777,1.182936818,-1.768636831
Mo Layton,1974,POR,1974 Mo Layton 1949,327,30.78122177,19.95913495,4.164372792,1.656854311,0.984335851
Manny Leaks,1974,CAP,1974 Manny Leaks 1946,845,53.54624853,16.62584911,2.861411467,0.466886116,-4.364447557
Clyde Lee,1974,GSW,1974 Clyde Lee 1945,1642,82.62586852,19.9721287,2.217972935,0.822986811,-2.271165358
Russ Lee,1974,MIL,1974 Russ Lee 1950,166,21.06403228,17.25088999,5.778751912,0.949485822,-4.65704756
Bob Love,1974,CHI,1974 Bob Love 1943,3292,229.7360932,10.65795622,3.190225213,0.565866679,-4.345972859
Stan Love,1974,LAL,1974 Stan Love 1950,698,69.95586057,18.5995508,4.306820237,0.686146945,-5.437802374
Jerry Lucas,1974,NYK,1974 Jerry Lucas 1941,1627,107.9275937,18.92909995,3.076421437,2.131058353,2.790764576
Mike Macaluso,1974,BUF,1974 Mike Macaluso 1952,112,13.30873766,20.54174559,5.110882357,0.225415819,-10.09708719
Ted Manakas,1974,KCO,1974 Ted Manakas 1952,45,2.469064951,17.35226425,2.482251914,0.810023244,-2.523848039
Pete Maravich,1974,ATL,1974 Pete Maravich 1948,2903,366.1039922,15.20981899,5.463348517,1.081659879,-3.517188845
Jack Marin,1974,TOT,1974 Jack Marin 1945,1782,154.4105192,16.38880819,3.844041923,1.081532533,-2.417350496
Jack Marin,1974,HOU,1974 Jack Marin 1945,1102,93.52092384,16.1342859,3.839308826,1.293828109,-1.166448019
Jack Marin,1974,BUF,1974 Jack Marin 1945,680,60.88959534,16.7957585,3.851334303,0.755465687,-4.444548334
Vester Marshall,1974,SEA,1974 Vester Marshall 1949,174,5.907721096,15.55165966,1.478871293,0.677080034,-1.86267496
LaRue Martin,1974,POR,1974 LaRue Martin 1951,538,54.45752475,17.26084057,4.478031261,0.367258705,-7.643901751
Don May,1974,PHI,1974 Don May 1946,812,86.8385049,17.41232861,4.739899016,0.725484623,-5.521983362
Bob McAdoo,1974,BUF,1974 Bob McAdoo 1952,3185,354.3467376,15.70611584,4.785155383,0.479756075,-7.56713985
Paul McCracken,1974,HOU,1974 Paul McCracken 1951,13,1.497602806,27.24101502,5.211696853,1.335467583,-1.26361133
Jim McDaniels,1974,SEA,1974 Jim McDaniels 1949,439,32.84853563,14.61438343,3.259200936,0.730626177,-3.837935224
Jon McGlocklin,1974,MIL,1974 Jon McGlocklin 1944,1910,119.1310436,14.05956321,2.840483074,2.022982362,2.174639949
Allie McGuire,1974,NYK,1974 Allie McGuire 1952,10,0.869721218,17.8597743,4.033489709,1.149793726,-2.030545518
